Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2025 15:15:31,15.235364,68.9959,4.161902,56.11791,0.423856,4.4368067,6.7313895,-15.397556,-66.55132,7.08086,0.031675115,17824.162,0.9990896,0.044847336,0.00565427,0.03608835,725.7507,9.76782,3.4103577,6.612078,0,67,967.5885,21.224003,42.0503061,-78.87136822,
10/7/2025 15:15:33,15.203589,69.13559,4.137068,56.19464,0.41339394,4.3202376,6.730508,-15.346502,-68.85543,7.0808573,0.03174233,17796.572,0.99909484,0.044938136,0.00549114,0.03612371,725.751,9.7678175,3.41036,6.4389887,0,67,967.5889,21.22295,42.0503061,-78.87136822,
10/7/2025 15:15:35,15.171814,69.27528,4.112234,56.271374,0.4029319,4.203668,6.7296267,-15.295448,-71.159546,7.080854,0.031809546,17768.98,0.9991001,0.045028936,0.00532801,0.036159072,725.75134,9.767814,3.4103625,6.2658987,0,67,967.58936,21.221899,42.0503061,-78.87136822,
10/7/2025 15:15:37,15.140039,69.41498,4.0874,56.348106,0.39246985,4.087099,6.728745,-15.244393,-73.46365,7.080851,0.031876758,17741.39,0.9991053,0.045119736,0.00516488,0.03619443,725.75165,9.767811,3.4103649,6.092809,0,67,967.58984,21.220848,42.05030611,-78.87136823,
10/7/2025 15:15:39,14.7310705,69.89756,4.028124,56.183876,0.2580676,2.6733685,6.7349586,-15.567907,-84.08185,7.0876646,0.032099195,17798.867,0.999166,0.045433413,0.000846,0.03671104,725.7195,9.777449,3.4035816,3.9861753,0,67,967.54694,21.196058,42.05030611,-78.87136823,
10/7/2025 15:15:41,14.712144,69.93641,4.0165367,56.190643,0.25250977,2.613661,6.735124,-15.576097,-84.724495,7.087721,0.032117568,17796.686,0.99916893,0.045458667,0.000734162,0.036716007,725.7188,9.777528,3.403526,3.897317,0,67,967.546,21.195122,42.05031751,-78.87135079,
10/7/2025 15:15:43,14.693216,69.97526,4.004949,56.197414,0.24695192,2.553954,6.73529,-15.584287,-85.36715,7.087777,0.03213594,17794.504,0.99917185,0.045483917,0.000622325,0.03672097,725.71814,9.777607,3.4034705,3.8084586,0,67,967.54517,21.194185,42.05031634,-78.87134919,
10/7/2025 15:15:45,14.674289,70.01411,3.993362,56.20418,0.24139407,2.4942465,6.7354555,-15.592477,-86.0098,7.087833,0.03215431,17792.324,0.9991748,0.045509167,0.000510488,0.036725935,725.71747,9.777685,3.403415,3.7196002,0,67,967.54425,21.193249,42.05031634,-78.87134919,
10/7/2025 15:15:47,14.655361,70.05295,3.9817748,56.210953,0.23583624,2.434539,6.7356215,-15.600666,-86.65245,7.087889,0.032172684,17790.143,0.9991777,0.04553442,0.000398651,0.036730897,725.7168,9.777764,3.4033594,3.6307418,0,67,967.54333,21.19231,42.05031634,-78.87134919,
10/7/2025 15:15:49,14.636434,70.0918,3.9701874,56.21772,0.23027839,2.374832,6.735787,-15.608856,-87.295105,7.0879455,0.032191057,17787.96,0.9991806,0.04555967,0.000286813,0.036735862,725.7161,9.777843,3.4033039,3.5418835,0,67,967.5424,21.191374,42.05031634,-78.87134919,
10/7/2025 15:15:51,14.617506,70.130646,3.9586,56.22449,0.22472055,2.3151245,6.7359524,-15.617045,-87.93775,7.0880017,0.03220943,17785.78,0.99918354,0.04558492,0.000174976,0.03674083,725.71545,9.777923,3.4032483,3.453025,0,67,967.5415,21.190437,42.05031634,-78.87134919,
10/7/2025 15:15:53,14.387623,70.72463,4.011141,56.38783,0.1596053,1.6389198,6.756318,-16.732037,-96.65941,7.085974,0.032490253,17734.352,0.9992169,0.045971014,0.000500996,0.033233553,725.73444,9.775021,3.4052904,2.4449143,0,67,967.5669,21.165758,42.05031634,-78.87134919,
10/7/2025 15:15:55,14.377493,70.74599,4.011294,56.391357,0.15652362,1.606591,6.7568436,-16.760576,-97.01308,7.085995,0.03250031,17733.238,0.9992184,0.045984894,0.000461947,0.033157174,725.73456,9.77505,3.4052699,2.3967402,0,67,967.5671,21.16491,42.05031634,-78.87134919,
