Location Properties,,,,,,,,,,,,,,,,,,
5/13/2025 15:46,68.37904,18.549856,7.609048,10.123559,111.04119,0.9920102,0.97370833,0.023753777,1.0617319,-46.58872,9.429404,0,83,987.3732,20.368414,41.23137442,-74.07650624,
5/13/2025 15:46,68.37751,18.550133,7.6096168,10.123236,111.03807,0.99864453,0.9755152,0.023401186,1.060875,-46.6212,9.430263,0,83,987.375,20.368914,41.23137442,-74.07650624,
5/13/2025 15:46,68.37597,18.550411,7.6101856,10.122911,111.03494,1.0052788,0.977322,0.023048596,1.0600182,-46.653683,9.43112,0,83,987.3768,20.369411,41.23137442,-74.07650624,
5/13/2025 15:46,68.37443,18.550688,7.6107545,10.122587,111.03182,1.0119132,0.97912884,0.022696007,1.0591614,-46.68617,9.431978,0,83,987.3785,20.369911,41.23137442,-74.07650624,
5/13/2025 15:46,68.36013,18.54663,7.6160946,10.119859,110.99566,1.0628754,0.96396554,0.030281292,1.0712748,-46.990005,9.419775,0,83,987.3524,20.369717,41.23137442,-74.07650624,
5/13/2025 15:46,68.359215,18.546543,7.6164865,10.11966,110.99332,1.0672168,0.9643213,0.030441653,1.0714047,-47.012344,9.4196415,0,83,987.3521,20.369867,41.23137442,-74.07650624,
5/13/2025 15:46,68.35829,18.546457,7.616879,10.119461,110.990974,1.071558,0.96467716,0.030602016,1.0715346,-47.034683,9.419508,0,83,987.35187,20.370018,41.23137442,-74.07650624,
5/13/2025 15:46,68.35737,18.546371,7.617271,10.119263,110.98863,1.0758994,0.965033,0.030762376,1.0716646,-47.057022,9.419374,0,83,987.35156,20.370169,41.23137442,-74.07650624,
5/13/2025 15:46,68.3615,18.548162,7.624125,10.134464,111.16346,0.8401894,1.0973954,0.030231765,1.0362594,-47.448112,9.454787,0,83,987.31635,20.37,41.23137442,-74.07650624,
5/13/2025 15:46,68.3614,18.54817,7.6244984,10.1350155,111.16973,0.83182245,1.1024362,0.030331118,1.0350397,-47.46941,9.456006,0,83,987.3145,20.37,41.23137442,-74.07650624,
5/13/2025 15:46,68.36129,18.54818,7.624872,10.135567,111.176,0.8234555,1.1074771,0.030430472,1.0338198,-47.490707,9.457225,0,83,987.31274,20.37,41.23137442,-74.07650624,
5/13/2025 15:46,68.36118,18.548187,7.6252456,10.136118,111.182274,0.81508857,1.1125178,0.030529825,1.0325999,-47.512,9.458443,0,83,987.3109,20.37,41.23137442,-74.07650624,
5/13/2025 15:46,68.34757,18.564444,7.6319375,10.121951,111.05882,0.886703,0.8713201,0.018249745,1.1683981,-47.896255,9.322586,0,83,987.35394,20.378595,41.23137442,-74.07650624,
5/13/2025 15:46,68.347084,18.565128,7.632328,10.12163,111.056725,0.8857292,0.86380243,0.017746307,1.1732886,-47.918633,9.317693,0,83,987.35504,20.378942,41.23137442,-74.07650624,
5/13/2025 15:46,68.34659,18.565815,7.6327186,10.121308,111.05462,0.8847554,0.85628474,0.017242867,1.1781791,-47.941006,9.3128,0,83,987.3562,20.379288,41.23137442,-74.07650624,
5/13/2025 15:46,68.34609,18.5665,7.633109,10.120987,111.05252,0.88378155,0.8487671,0.01673943,1.1830697,-47.96338,9.307907,0,83,987.35736,20.379635,41.23137442,-74.07650624,
5/13/2025 15:46,68.333885,18.569164,7.630396,10.1265335,111.12116,0.7944627,0.91818434,0.026897434,1.937928,-47.809116,8.553072,0,83,987.341,20.388208,41.23137442,-74.07650624,
5/13/2025 15:46,68.33316,18.56955,7.630406,10.126518,111.12185,0.7920413,0.9168737,0.02709508,1.9704667,-47.80975,8.520533,0,83,987.34106,20.388699,41.23137442,-74.07650624,
5/13/2025 15:47,68.332436,18.569935,7.630416,10.126502,111.122536,0.78962,0.915563,0.027292723,2.0030055,-47.810383,8.487994,0,83,987.3411,20.389189,41.23137442,-74.07650624,
5/13/2025 15:47,68.33171,18.57032,7.630426,10.126486,111.12322,0.78719866,0.91425234,0.027490368,2.0355442,-47.811016,8.455455,0,83,987.3412,20.38968,41.23137442,-74.07650624,
5/13/2025 15:47,67.98647,18.364866,7.626026,10.044883,109.7693,1.1813432,0.98280865,0.021943858,1.9743546,-47.526665,8.516725,0,83,987.32324,20.389656,41.23137442,-74.07650624,
5/13/2025 15:47,67.97222,18.356564,7.625807,10.041654,109.71536,1.1958646,0.98666894,0.021882137,1.9845469,-47.51279,8.5065365,0,83,987.3222,20.389803,41.23137442,-74.07650624,
5/13/2025 15:47,67.95797,18.34826,7.625587,10.038424,109.66143,1.2103859,0.99052924,0.021820419,1.9947392,-47.49892,8.496347,0,83,987.3212,20.38995,41.23137442,-74.07650624,
5/13/2025 15:47,67.94372,18.339958,7.6253676,10.035194,109.60749,1.2249073,0.9943895,0.021758698,2.0049314,-47.485046,8.486159,0,83,987.32025,20.390095,41.23137442,-74.07650624,
5/13/2025 15:47,68.07521,18.212177,7.6176248,10.018325,109.1367,1.3202469,0.9667049,0.033479262,1.9899424,-47.023323,8.501175,0,83,987.3288,20.381697,41.23137442,-74.07650624,
5/13/2025 15:47,68.07425,18.203701,7.617252,10.016255,109.09506,1.3307606,0.96679616,0.033832308,1.988519,-47.0007,8.502601,0,83,987.3288,20.381378,41.23137442,-74.07650624,
5/13/2025 15:47,68.07328,18.195225,7.616879,10.014186,109.05341,1.3412744,0.9668874,0.034185354,1.9870956,-46.97808,8.504026,0,83,987.32886,20.381058,41.23137442,-74.07650624,
5/13/2025 15:47,68.07231,18.186749,7.616506,10.012116,109.011765,1.351788,0.9669786,0.034538403,1.9856722,-46.955463,8.505452,0,83,987.32886,20.38074,41.23137442,-74.07650624,
5/13/2025 15:47,68.08932,18.100735,7.5975394,9.98183,108.49245,1.5399454,1.0422453,0.026467388,1.9935286,-45.86189,8.497576,0,83,987.3121,20.389027,41.23137442,-74.07650624,
5/13/2025 15:47,68.09189,18.095072,7.5966024,9.980248,108.46266,1.5495932,1.0451277,0.026290338,1.9937541,-45.807632,8.49735,0,83,987.31146,20.389263,41.23137442,-74.07650624,
5/13/2025 15:47,68.09447,18.089409,7.5956655,9.978666,108.43288,1.5592409,1.0480102,0.02611329,1.9939797,-45.753372,8.497124,0,83,987.31085,20.3895,41.23137442,-74.07650624,
5/13/2025 15:47,68.09704,18.083748,7.5947285,9.977084,108.40308,1.5688888,1.0508927,0.02593624,1.9942052,-45.699116,8.496898,0,83,987.31024,20.389736,41.23137442,-74.07650624,
5/13/2025 15:47,68.14248,18.04095,7.575333,9.953505,108.05385,1.4505839,1.0998498,0.022769457,2.0041265,-44.58851,8.486911,0,83,987.2936,20.389664,41.23137442,-74.07650624,
5/13/2025 15:47,68.14447,18.037685,7.5742064,9.951994,108.03028,1.4494042,1.1032535,0.022480987,2.004667,-44.523857,8.486367,0,83,987.2926,20.389824,41.23137442,-74.07650624,
5/13/2025 15:47,68.14646,18.034422,7.5730796,9.950483,108.006714,1.4482245,1.106657,0.02219252,2.0052073,-44.459206,8.485824,0,83,987.29156,20.389984,41.23137442,-74.07650624,
5/13/2025 15:47,68.14846,18.031158,7.5719533,9.948972,107.98315,1.4470448,1.1100607,0.02190405,2.0057478,-44.394554,8.485281,0,83,987.2906,20.390144,41.23137442,-74.07650624,
5/13/2025 15:47,68.24094,18.007914,7.5555887,9.93681,107.800575,1.4420778,1.1983094,0.03801379,2.0010138,-43.459717,8.490044,0,83,987.28217,20.381641,41.23137443,-74.07650619,
5/13/2025 15:47,68.24542,18.006212,7.554597,9.935911,107.7871,1.4401128,1.2027367,0.038607374,2.0009892,-43.403,8.490068,0,83,987.28156,20.381304,41.23137443,-74.07650619,
5/13/2025 15:47,68.24991,18.004509,7.553605,9.935012,107.773636,1.4381478,1.2071642,0.03920096,2.0009649,-43.346287,8.490093,0,83,987.2809,20.380966,41.23137443,-74.07650619,
5/13/2025 15:47,68.254395,18.002808,7.5526133,9.934113,107.76016,1.4361827,1.2115915,0.039794546,2.0009403,-43.28957,8.490118,0,83,987.2803,20.380627,41.23137443,-74.07650619,
5/13/2025 15:47,68.2993,17.986261,7.5333343,9.918746,107.55333,1.5307971,1.2277362,0.036868263,1.9969064,-42.189983,8.494123,0,83,987.31415,20.397459,41.23137443,-74.07650619,
5/13/2025 15:47,68.302704,17.985168,7.532244,9.917891,107.54149,1.5348636,1.2298574,0.0370014,1.9966558,-42.127804,8.494373,0,83,987.3155,20.398046,41.23137443,-74.07650619,
5/13/2025 15:47,68.306114,17.984076,7.5311546,9.917034,107.52965,1.53893,1.2319785,0.03713454,1.9964052,-42.065624,8.494622,0,83,987.31683,20.398632,41.23137443,-74.07650619,
5/13/2025 15:47,68.30952,17.982983,7.5300646,9.916179,107.5178,1.5429965,1.2340997,0.037267677,1.9961547,-42.003445,8.494872,0,83,987.3181,20.39922,41.23137443,-74.07650619,
5/13/2025 15:47,68.095665,17.905151,7.516293,9.828665,106.40049,1.3801628,1.0791646,0.030666215,2.656902,-41.20876,7.8340387,0,83,987.3014,20.40779,41.23137443,-74.07650619,
5/13/2025 15:47,68.0876,17.901632,7.5153756,9.824764,106.3505,1.3751457,1.0730176,0.030334523,2.6841888,-41.156055,7.806748,0,83,987.3013,20.408455,41.23137442,-74.07650624,
5/13/2025 15:47,68.07954,17.898115,7.514458,9.820864,106.30052,1.3701286,1.0668706,0.03000283,2.7114756,-41.103355,7.779457,0,83,987.3012,20.409119,41.23137442,-74.07650624,
5/13/2025 15:47,68.07148,17.894598,7.5135407,9.816963,106.250534,1.3651115,1.0607235,0.029671136,2.7387621,-41.05065,7.752166,0,83,987.30115,20.409782,41.23137442,-74.07650624,
5/13/2025 15:48,67.833595,17.208422,7.437638,9.669491,103.180405,1.6475118,1.134146,0.039187964,2.9123726,-36.648067,7.57871,0,83,987.3255,20.417946,41.23137442,-74.07650624,
5/13/2025 15:48,67.82037,17.179544,7.4343433,9.662048,103.03776,1.6560584,1.1344132,0.0394544,2.9308124,-36.45705,7.560275,0,83,987.32623,20.41843,41.23137442,-74.07650624,
5/13/2025 15:48,67.80715,17.150667,7.431049,9.654605,102.89511,1.6646049,1.1346805,0.039720837,2.949252,-36.266037,7.54184,0,83,987.3269,20.418915,41.23137442,-74.07650624,
5/13/2025 15:48,67.79393,17.12179,7.427754,9.6471615,102.752464,1.6731514,1.1349478,0.039987274,2.9676917,-36.07502,7.523405,0,83,987.32764,20.419401,41.23137442,-74.07650624,
5/13/2025 15:48,67.78071,17.092913,7.4244595,9.639718,102.60982,1.681698,1.135215,0.040253706,2.9861314,-35.884003,7.50497,0,83,987.32837,20.419886,41.23137442,-74.07650624,
5/13/2025 15:48,67.941505,16.936323,7.3953714,9.51979,101.00586,2.0110447,0.970874,0.056766845,2.9891462,-34.21564,7.501989,0,83,987.31134,20.437273,41.23137442,-74.07650624,
5/13/2025 15:48,67.943756,16.918316,7.3928986,9.512395,100.88837,2.0289545,0.96540093,0.057585254,2.992752,-34.07297,7.498387,0,83,987.31104,20.438122,41.23137442,-74.07650624,
5/13/2025 15:48,67.946014,16.900309,7.3904257,9.505001,100.770874,2.0468645,0.9599278,0.058403667,2.996358,-33.9303,7.494785,0,83,987.3108,20.438969,41.23137442,-74.07650624,
5/13/2025 15:48,67.948265,16.882301,7.387953,9.497606,100.65337,2.0647743,0.9544547,0.059222076,2.9999638,-33.787632,7.491183,0,83,987.3105,20.439817,41.23137442,-74.07650624,
5/13/2025 15:48,68.183914,16.7505,7.3503947,9.448818,99.86277,1.84749,1.0333726,0.07272423,2.96755,-31.644697,7.5236554,0,83,987.3021,20.447582,41.23137442,-74.07650624,
5/13/2025 15:48,68.19501,16.742552,7.3484797,9.444799,99.80348,1.8457127,1.0332237,0.07350633,2.9668248,-31.53523,7.524383,0,83,987.3015,20.44818,41.23137442,-74.07650624,
5/13/2025 15:48,68.2061,16.734604,7.346565,9.440781,99.744194,1.8439353,1.0330749,0.07428844,2.9660995,-31.425764,7.525111,0,83,987.3009,20.448778,41.23137442,-74.07650624,
5/13/2025 15:48,68.21719,16.726656,7.34465,9.436761,99.684906,1.8421578,1.032926,0.07507055,2.9653742,-31.316298,7.5258393,0,83,987.3003,20.449377,41.23137442,-74.07650624,
5/13/2025 15:48,68.22829,16.71871,7.342735,9.432742,99.62562,1.8403804,1.0327772,0.07585266,2.964649,-31.206831,7.526567,0,83,987.2997,20.449974,41.23137442,-74.07650624,
5/13/2025 15:48,68.224144,16.665718,7.305399,9.38679,99.03214,2.2876906,0.9828571,0.050237697,2.987045,-29.086218,7.5041695,0,83,987.2823,20.467386,41.23137442,-74.07650624,
5/13/2025 15:48,68.22752,16.661333,7.3033247,9.384064,98.99425,2.3027775,0.98179406,0.04944603,2.9875345,-28.968225,7.5036807,0,83,987.28143,20.468212,41.23137442,-74.07650624,
5/13/2025 15:48,68.2309,16.656948,7.3012505,9.381337,98.95635,2.3178644,0.98073095,0.048654366,2.9880242,-28.850233,7.503192,0,83,987.28064,20.469038,41.23137442,-74.07650624,
5/13/2025 15:48,68.23428,16.652565,7.299176,9.37861,98.91846,2.3329513,0.9796679,0.047862705,2.9885137,-28.732243,7.502703,0,83,987.2798,20.469864,41.23137442,-74.07650624,
5/13/2025 15:48,68.27751,16.619192,7.2694154,9.3680525,98.73344,2.2900949,1.1046575,0.081248544,3.0022514,-27.043312,7.488984,0,83,987.32294,20.477993,41.23137442,-74.07650624,
5/13/2025 15:48,68.27907,16.616976,7.2676506,9.3668,98.71548,2.2966158,1.1082908,0.08203503,3.0031693,-26.943102,7.488067,0,83,987.3242,20.478607,41.23137442,-74.07650624,
5/13/2025 15:49,68.57857,16.503534,7.1967244,9.341656,98.21494,1.9430374,1.0140206,0.098735206,2.972771,-22.916794,7.5183215,0,83,987.2997,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.57857,16.503534,7.1967244,9.341656,98.21494,1.9430374,1.0140206,0.098735206,2.972771,-22.916794,7.5183215,0,83,987.2997,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.57857,16.503534,7.1967244,9.341656,98.21494,1.9430374,1.0140206,0.098735206,2.972771,-22.916794,7.5183215,0,83,987.2997,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.57857,16.503534,7.1967244,9.341656,98.21494,1.9430374,1.0140206,0.098735206,2.972771,-22.916794,7.5183215,0,83,987.2997,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.579414,16.503534,7.188622,9.328513,98.05014,2.2764049,0.95584965,0.053752553,2.9783878,-22.45696,7.5125685,0,83,987.316,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.57947,16.503534,7.188093,9.327656,98.03938,2.2981591,0.95205367,0.050817173,2.9787545,-22.426952,7.512193,0,83,987.3171,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.57953,16.503534,7.1875644,9.3267975,98.02863,2.3199131,0.9482577,0.04788179,2.979121,-22.396946,7.5118175,0,83,987.3181,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.57958,16.503534,7.1870356,9.32594,98.017876,2.3416674,0.9444617,0.04494641,2.9794877,-22.36694,7.511442,0,83,987.3192,20.54,41.23137442,-74.07650624,
5/13/2025 15:49,68.5289,16.489899,7.1840787,9.320397,97.96123,1.7996002,2.3954535,0.04426918,2.9730349,-22.199682,7.5178227,0,83,987.3264,20.547913,41.23137442,-74.07650624,
5/13/2025 15:49,68.52653,16.489256,7.183763,9.31985,97.95496,1.7812911,2.4626262,0.043257795,2.972853,-22.181782,7.517998,0,83,987.3271,20.548286,41.23137442,-74.07650624,
5/13/2025 15:49,68.524155,16.488611,7.1834474,9.319303,97.94871,1.762982,2.5297987,0.042246405,2.9726708,-22.16388,7.518174,0,83,987.32776,20.54866,41.23137442,-74.07650624,
5/13/2025 15:49,68.52178,16.487968,7.183131,9.318755,97.942444,1.7446729,2.5969715,0.04123502,2.9724886,-22.145979,7.5183496,0,83,987.3285,20.549032,41.23137442,-74.07650624,
5/13/2025 15:49,67.50742,16.488602,7.186219,9.24621,97.06804,2.0386715,1.212431,0.046366237,3.7900746,-22.316349,6.700868,0,83,987.2651,20.54943,41.23137442,-74.07650624,
