Location Properties,,,,,,,,,,,,,,,,,,,,,
5/27/2025 17:47:38,,82.491745,9.358379,97.09685,0.003354806,0.027902644,7.458282,-37.66673,234.7355,0.5534696,16.050314,743.21875,10.00155,7.244991,0,77,990.8774,22.300386,41.26861046,-74.08752191,
5/27/2025 17:47:40,,82.49196,9.358527,97.09784,0.003340105,0.027922302,7.4583845,-37.672516,234.73305,0.5516867,16.050072,743.219,10.00195,7.245266,0,77,990.87775,22.300251,41.26861009,-74.08752363,
5/27/2025 17:47:42,,82.49217,9.358674,97.09883,0.003325404,0.02794196,7.4584875,-37.6783,234.7306,0.5499038,16.049831,743.2193,10.002351,7.2455416,0,77,990.8781,22.300116,41.26861032,-74.08751683,
5/27/2025 17:47:44,,82.492386,9.358821,97.09983,0.003310703,0.027961621,7.4585905,-37.684086,234.72815,0.54812086,16.049591,743.21954,10.002752,7.245817,0,77,990.8785,22.29998,41.26861007,-74.08751564,
5/27/2025 17:47:46,,82.35089,9.338158,96.855034,0.001709909,0.022552246,7.445048,-36.91661,235.215,0.547566,16.034391,743.21356,10.986705,7.9384327,0,77,990.8704,22.30844,41.26861097,-74.08751598,
5/27/2025 17:47:48,,82.34559,9.337412,96.84578,0.001607067,0.022315681,7.4445357,-36.887566,235.2339,0.5467899,16.033651,743.2135,11.025797,7.9659467,0,77,990.87036,22.308773,41.26860679,-74.08751484,
5/27/2025 17:47:50,,82.340294,9.336666,96.836525,0.001504226,0.022079114,7.4440236,-36.85852,235.2528,0.5460137,16.032911,743.2135,11.064888,7.993461,0,77,990.8703,22.309107,41.26860833,-74.08751659,
5/27/2025 17:47:52,,82.335,9.33592,96.82727,0.001401385,0.021842549,7.4435115,-36.829475,235.27171,0.54523754,16.03217,743.21344,11.103979,8.020975,0,77,990.87024,22.30944,41.26860561,-74.08751902,
5/27/2025 17:47:54,,82.3297,9.335175,96.818016,0.001298544,0.021605983,7.4429994,-36.80043,235.29062,0.54446137,16.03143,743.2134,11.143071,8.04849,0,77,990.87024,22.309774,41.26860658,-74.08752141,
5/27/2025 17:47:56,,82.064674,9.140889,94.562225,0.003006147,0.025768176,7.4139304,-35.14258,236.88684,0.71468717,15.909789,743.18713,11.4191065,8.242833,0,77,990.83527,22.292358,41.26860888,-74.08751834,
5/27/2025 17:47:58,,82.052155,9.133134,94.47208,0.003043187,0.025833804,7.412591,-35.066288,236.95601,0.72114915,15.904891,743.18604,11.44649,8.262111,0,77,990.8338,22.29184,41.26860525,-74.08752148,
5/27/2025 17:48:0,,82.039635,9.125378,94.381935,0.003080227,0.02589943,7.411252,-34.989994,237.02516,0.72761106,15.899993,743.18494,11.473875,8.281388,0,77,990.83234,22.29132,41.26860935,-74.08752092,
5/27/2025 17:48:2,,82.027115,9.117621,94.291794,0.003117267,0.025965057,7.409913,-34.913704,237.09431,0.73407304,15.895095,743.18384,11.501259,8.300665,0,77,990.8309,22.2908,41.26860964,-74.08752006,
5/27/2025 17:48:4,,81.8296,8.789193,90.4775,0.01226064,0.02145569,7.3579354,-31.953527,239.08835,0.6144334,15.679004,743.20984,11.52075,8.314298,0,77,990.8654,22.299242,41.26860692,-74.08751176,
5/27/2025 17:48:6,,81.81755,8.773334,90.29331,0.012639581,0.021344457,7.3554444,-31.811644,239.1917,0.61256695,15.668665,743.2104,11.526787,8.318544,0,77,990.8662,22.299292,41.26861061,-74.08751845,
5/27/2025 17:48:8,,81.805504,8.757475,90.10912,0.013018523,0.021233225,7.352954,-31.669762,239.29506,0.6107005,15.658326,743.211,11.532823,8.32279,0,77,990.86694,22.299341,41.26860814,-74.08752749,
5/27/2025 17:48:10,,81.79346,8.741615,89.924934,0.013397465,0.021121994,7.350463,-31.527878,239.3984,0.608834,15.647987,743.21155,11.538859,8.327037,0,77,990.86774,22.29939,41.2686052,-74.08752288,
5/27/2025 17:48:12,,81.91908,8.393032,86.10204,0.001735306,0.022483008,7.285552,-27.851547,241.68773,0.56012475,15.517859,743.212,11.517934,8.312337,0,77,990.8683,22.308123,41.26860536,-74.08751611,
5/27/2025 17:48:14,,81.92044,8.374234,85.89233,0.001441613,0.022461046,7.282203,-27.661613,241.80878,0.556382,15.509276,743.2124,11.517896,8.312309,0,77,990.86884,22.308588,41.26860312,-74.08751763,
5/27/2025 17:48:16,,81.92181,8.355437,85.68261,0.00114792,0.022439085,7.278855,-27.471682,241.92981,0.5526393,15.500693,743.2128,11.517858,8.312282,0,77,990.86945,22.309053,41.2686043,-74.08752536,
5/27/2025 17:48:18,,81.92317,8.336639,85.47289,0.000854227,0.022417122,7.275506,-27.281748,242.05084,0.54889655,15.49211,743.21326,11.517818,8.312255,0,77,990.87,22.309519,41.2686119,-74.08752598,
5/27/2025 17:48:20,,82.0543,8.047357,82.39478,0.009219858,0.024374142,7.208414,-23.491472,244.47752,0.55909073,15.42814,743.2193,11.507155,8.304743,0,77,990.8782,22.309607,41.26861045,-74.08752604,
5/27/2025 17:48:22,,82.061325,8.030322,82.21161,0.009373223,0.024472216,7.2047224,-23.282766,244.61029,0.5587336,15.423484,743.21954,11.50648,8.304268,0,77,990.8785,22.309746,41.26861014,-74.08752078,
5/27/2025 17:48:24,,82.06835,8.013288,82.028435,0.009526586,0.02457029,7.201031,-23.074062,244.74306,0.55837643,15.418827,743.21985,11.505804,8.303792,0,77,990.87885,22.309883,41.26861163,-74.08752149,
5/27/2025 17:48:26,,82.075386,7.996253,81.84526,0.009679951,0.024668364,7.1973395,-22.865358,244.87582,0.5580193,15.414171,743.2201,11.505129,8.303317,0,77,990.87915,22.310022,41.26861252,-74.08752081,
5/27/2025 17:48:28,,82.08241,7.9792185,81.66209,0.009833315,0.02476644,7.193648,-22.656654,245.00859,0.5576621,15.409514,743.22034,11.504453,8.302842,0,77,990.8795,22.31016,41.26860952,-74.08751809,
5/27/2025 17:48:30,,82.13189,7.75605,79.331955,0.006237419,0.022532923,7.140618,-19.66381,246.73683,0.57187885,15.381825,743.2203,11.484258,8.288684,0,77,990.8794,22.31,41.26860998,-74.08751525,
5/27/2025 17:48:32,,82.136024,7.742527,79.18963,0.006246158,0.02248354,7.137444,-19.484604,246.84456,0.5725496,15.3796,743.22034,11.483319,8.288025,0,77,990.8796,22.31,41.2686103,-74.08752878,
