"Location Properties"
"Location Name = LW1"
"Location ID = b32bd0a6-23d2-4098-afa9-1e6c55328813"
"Latitude = 41.231365090412744 °"
"Longitude = -74.07638617052947 °"
""
"Report Properties"
"Start Time = 2025-10-01 09:22:58"
"Time Offset = -04:00:00"
"Duration = 00:06:56"
"Readings = 209"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
""
"Date Time","Specific Conductivity (µS/cm) (1154450)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","Oxygen Partial Pressure (Torr) (1147006)","BGA-PC Fluorescence (RFU) (1142613)","Chlorophyll-a Fluorescence (RFU) (1151543)","pH (pH) (1112266)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Turbidity (NTU) (1154355)","Temperature (°C) (1155867)","Depth (m) (1147922)","Latitude (°)","Longitude (°)","Marked"
"2025-10-01 09:23:48","154.79337","0","0","-0.7110459","0.05847777","0.5397804","7.05329","-32.729095","-153.06126","4.8456125","10.501746","7.968146","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:23:50","155.11871","0","0","-0.71178204","0.058961153","0.53910226","7.051702","-32.6421","-153.02002","4.8461056","10.499786","7.9686427","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:23:52","154.71243","0","0","-0.6831993","0.051395863","0.5901395","7.0339084","-31.669064","-152.2911","4.3530293","10.490622","7.9664836","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:23:54","154.84048","0","0","-0.68233716","0.0513132","0.5927185","7.0326233","-31.598703","-152.24786","4.333056","10.489243","7.9666595","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:23:56","154.96852","0","0","-0.68147504","0.05123053","0.5952974","7.031338","-31.528343","-152.20462","4.3130827","10.487863","7.9668355","41.23130714970031","-74.07650938178047",""
"2025-10-01 09:23:58","155.09657","0","0","-0.680613","0.051147867","0.59787637","7.030053","-31.457985","-152.16138","4.2931094","10.486484","7.9670115","41.2313071497003","-74.07650938178047",""
"2025-10-01 09:24:00","151.41003","0","0","-0.67772156","0.047734637","0.5653475","7.023268","-31.08457","-153.00778","4.5574007","10.460735","7.965718","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:02","151.25592","0","0","-0.6771306","0.047472667","0.56487495","7.022684","-31.052528","-153.02959","4.559858","10.459527","7.9656324","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:04","151.10182","0","0","-0.67653954","0.047210693","0.56440246","7.0221","-31.020487","-153.05139","4.5623155","10.458318","7.9655466","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:06","150.94771","0","0","-0.67594856","0.046948723","0.5639299","7.021516","-30.988443","-153.0732","4.5647726","10.4571085","7.965461","41.23130714970029","-74.07650938178047",""
