"Location Properties"
"Location Name = QL-2"
"Location ID = 3f2f9a37-1390-4de3-b6b2-c01a3c6fd9e4"
"Latitude = 42.044536625074265 °"
"Longitude = -78.86912880472734 °"
""
"Report Properties"
"Start Time = 2025-05-07 09:59:11"
"Time Offset = -04:00:00"
"Duration = 00:11:06"
"Readings = 334"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
""
"Date Time","Depth (m) (1147922)","Temperature (°C) (1155867)","Specific Conductivity (µS/cm) (1154450)","pH (pH) (1112266)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","Chlorophyll-a Fluorescence (RFU) (1151543)","Turbidity (NTU) (1154355)","BGA-PC Fluorescence (RFU) (1142613)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Latitude (°)","Longitude (°)","Marked"
"2025-05-07 10:00:01","0.34058335","14.1955595","40.56598","7.329841","10.607709","108.092445","0.016752815","2.5457485","0.011810467","-30.210981","274.03397","42.044627072909506","-78.86907138240711",""
"2025-05-07 10:00:03","0.3498911","14.196926","40.562847","7.3294816","10.607919","108.09757","0.016454352","2.544088","0.011994401","-30.190943","274.05798","42.04462673038381","-78.86907175782783",""
"2025-05-07 10:00:05","1.2873108","14.083182","40.17144","7.296337","10.561705","107.35951","0.02331512","2.3193047","0.0017476872","-28.31822","276.02304","42.04462673038381","-78.86907175782783",""
"2025-05-07 10:00:07","1.3283925","14.079077","40.155243","7.294841","10.560021","107.332634","0.023464018","2.3089914","0.0014107053","-28.233776","276.11157","42.04462673038381","-78.86907175782783",""
"2025-05-07 10:00:09","1.3694742","14.07497","40.139046","7.293344","10.558338","107.305756","0.023612916","2.298678","0.0010737234","-28.149334","276.20007","42.04462673038381","-78.86907175782783",""
"2025-05-07 10:00:11","1.4105557","14.070865","40.12285","7.2918477","10.556656","107.27888","0.023761816","2.2883644","0.0007367415","-28.06489","276.2886","42.044613954261415","-78.86908698722736",""
"2025-05-07 10:00:13","1.4516374","14.066759","40.106655","7.2903514","10.554973","107.252","0.023910714","2.2780511","0.00039975965","-27.980448","276.3771","42.044610077472","-78.86908922501826",""
"2025-05-07 10:00:15","1.438344","13.973144","40.45175","7.3214626","10.596955","107.46093","0.032242555","2.3214743","0.00032049348","-29.717323","274.51883","42.04461099973812","-78.86909022217314",""
"2025-05-07 10:00:17","1.4543806","13.967624","40.45816","7.3220706","10.59778","107.4564","0.032670356","2.3191652","0.00014681072","-29.750881","274.4823","42.0446070894642","-78.86908731135127",""
"2025-05-07 10:00:19","1.4704174","13.962103","40.46457","7.3226786","10.598605","107.45187","0.033098157","2.3168564","0","-29.784437","274.44577","42.04460342570356","-78.86906948210209",""
"2025-05-07 10:00:21","1.486454","13.956583","40.470978","7.3232865","10.59943","107.44734","0.033525955","2.3145475","0","-29.817995","274.4092","42.044604497170184","-78.86907325725029",""
"2025-05-07 10:00:23","1.4066763","13.935739","40.50841","7.334028","10.60912","107.50094","0.034130376","2.418035","0.00052511285","-30.418592","273.94226","42.044604436066386","-78.86907337041438",""
"2025-05-07 10:00:25","1.4043194","13.933309","40.515198","7.33492","10.610152","107.5059","0.034292974","2.4224856","0.0005452615","-30.468412","273.89566","42.04460142465245","-78.86907164469393",""
"2025-05-07 10:00:27","1.4019624","13.930879","40.521984","7.335812","10.611184","107.510864","0.03445557","2.426936","0.0005654102","-30.518232","273.84903","42.044602476187265","-78.86908741370515",""
"2025-05-07 10:00:29","1.3996055","13.92845","40.52877","7.3367043","10.612215","107.51582","0.03461817","2.4313865","0.0005855588","-30.568052","273.80243","42.04460176136567","-78.8690874065135",""
"2025-05-07 10:00:31","1.4005983","13.926656","40.564255","7.3355484","10.612757","107.51326","0.03977749","2.2848797","6.588571E-05","-30.502985","273.89496","42.04459621997116","-78.86908881878472",""
"2025-05-07 10:00:33","1.3996501","13.926158","40.56633","7.335684","10.612944","107.513916","0.039996807","2.2807465","5.3941392E-05","-30.510525","273.89062","42.04459621997116","-78.86908881878472",""
"2025-05-07 10:00:35","1.3987019","13.92566","40.568405","7.3358192","10.6131315","107.514565","0.040216118","2.2766135","4.1997075E-05","-30.518066","273.88626","42.04459736818259","-78.86908499871102",""
"2025-05-07 10:00:37","1.3977537","13.925162","40.57048","7.335954","10.613319","107.51522","0.04043543","2.2724802","3.0052755E-05","-30.525608","273.88193","42.044600183581416","-78.86908208341495",""
"2025-05-07 10:00:39","1.4005","13.925095","40.582497","7.342386","10.631734","107.70436","0.036002703","2.437048","2.186681E-05","-30.88649","273.48746","42.04460285001914","-78.86909215705919",""
"2025-05-07 10:00:41","1.4006068","13.925034","40.583645","7.342626","10.632471","107.71172","0.03591856","2.441037","1.3047041E-05","-30.899982","273.47314","42.04459905982316","-78.86909243553386",""
"2025-05-07 10:00:43","1.4007134","13.924972","40.584793","7.342867","10.633207","107.719086","0.035834417","2.445026","4.2272704E-06","-30.913475","273.4588","42.0445986934163","-78.86908897903486",""
"2025-05-07 10:00:45","1.4008203","13.924911","40.585938","7.343107","10.633944","107.72645","0.035750274","2.449015","0","-30.926968","273.44446","42.04460256203435","-78.86908816627101",""
"2025-05-07 10:00:47","1.3984964","13.917102","40.603786","7.3505516","10.61797","107.53854","0.040420145","2.198141","0","-31.343842","273.14325","42.04460052015773","-78.86908509364096",""
"2025-05-07 10:00:49","1.398438","13.916786","40.604702","7.3509507","10.617631","107.534096","0.040536623","2.1907728","0","-31.366222","273.12497","42.04460018877013","-78.8690879159607",""
"2025-05-07 10:00:51","1.3983796","13.916471","40.605618","7.3513503","10.617291","107.52965","0.0406531","2.1834047","0","-31.388603","273.1067","42.04460168801533","-78.86908838105917",""
"2025-05-07 10:00:53","1.3983212","13.916155","40.606533","7.35175","10.616952","107.5252","0.040769573","2.1760364","0","-31.410984","273.08838","42.04460229064454","-78.86908465729742",""
"2025-05-07 10:00:55","1.3982629","13.915838","40.60745","7.3521495","10.616612","107.52075","0.04088605","2.1686683","0","-31.433365","273.0701","42.04460210116842","-78.86908034192287",""
"2025-05-07 10:00:57","1.3981105","13.910647","40.58186","7.3381605","10.618486","107.5314","0.11766488","2.451234","0","-30.647856","274.09262","42.04460566419568","-78.86907299197964",""
"2025-05-07 10:00:59","1.3980658","13.910313","40.58119","7.337751","10.618292","107.52866","0.12070719","2.4578807","0","-30.624846","274.12674","42.04460567767441","-78.86907296957492",""
"2025-05-07 10:01:01","1.3980212","13.909978","40.580517","7.3373413","10.618098","107.52593","0.1237495","2.4645274","0","-30.601835","274.1609","42.04460894742726","-78.86907079206262",""
"2025-05-07 10:01:03","1.3979765","13.909643","40.57985","7.336932","10.617905","107.52319","0.12679182","2.471174","0","-30.578827","274.195","42.04461559012748","-78.86906248256774",""
"2025-05-07 10:01:05","1.3955655","13.9106865","40.605648","7.3391657","10.630289","107.656235","0.047083378","2.0985577","0","-30.704279","274.5215","42.044609549039386","-78.86906836690571",""
"2025-05-07 10:01:07","1.3954694","13.910634","40.60623","7.3390265","10.630788","107.661415","0.04531027","2.0888371","0","-30.696451","274.5507","42.044611082874134","-78.8690716693046",""
"2025-05-07 10:01:09","1.3953733","13.910582","40.60681","7.338887","10.631287","107.6666","0.043537162","2.0791166","0","-30.688625","274.57986","42.04461255236323","-78.8690584534954",""
"2025-05-07 10:01:11","1.3952773","13.910528","40.60739","7.338748","10.631785","107.67178","0.041764054","2.0693963","0","-30.680798","274.60904","42.04461568333772","-78.86906674965358",""
"2025-05-07 10:01:13","1.3936349","13.91909","40.61114","7.349139","10.623693","107.61194","0.040071957","1.9535055","0","-31.264801","274.49066","42.04461568333772","-78.86906674965358",""
"2025-05-07 10:01:15","1.3935312","13.9194355","40.611694","7.3495746","10.623572","107.61169","0.03877413","1.9430861","0","-31.289284","274.49185","42.04461568333772","-78.86906674965358",""
"2025-05-07 10:01:17","1.3934275","13.919782","40.612244","7.3500104","10.623451","107.611435","0.0374763","1.9326669","0","-31.313766","274.493","42.04461568333772","-78.86906674965358",""
"2025-05-07 10:01:19","1.3933237","13.920127","40.612793","7.350446","10.623331","107.61118","0.036178473","1.9222476","0","-31.338251","274.49417","42.04461568333772","-78.86906674965357",""
