"Location Properties"
"Location Name = LT2"
"Location ID = 731683c1-f50f-401e-8516-0e9234fe7550"
"Latitude = 41.260929701342796 °"
"Longitude = -74.09578356657856 °"
""
"Report Properties"
"Start Time = 2025-09-16 15:08:19"
"Time Offset = -04:00:00"
"Duration = 00:12:50"
"Readings = 386"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 1153542"
""
""
"Date Time","Specific Conductivity (µS/cm) (1154450)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","BGA-PC Fluorescence (RFU) (1142613)","Chlorophyll-a Fluorescence (RFU) (1151543)","pH (pH) (1112266)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Turbidity (NTU) (1154355)","Temperature (°C) (1155867)","Barometric Pressure (mm Hg) (1155867)","Pressure (psi) (1147922)","Depth (m) (1147922)","External Voltage (V) (1155867)","Battery Capacity (%) (1155867)","Barometric Pressure (mbar) (1153542)","Temperature (°C) (1153542)","Latitude (°)","Longitude (°)","Marked"
"2025-09-16 15:13:11","85.6372","8.476263","99.84261","0.012661256","0.030813009","7.187105","-41.68791","173.96794","1.1079439","22.182823","741.05994","4.101592","3.0930405","0","76","987.9992","24.94942","41.26855162974823","-74.08760554268052",""
"2025-09-16 15:13:13","85.6361","8.475966","99.83507","0.020741928","0.026650311","7.1958437","-42.1847","173.48596","1.1815472","22.18123","741.0671","4.0953393","3.0886376","0","76","988.00867","24.949677","41.26855283790078","-74.08760482460474",""
"2025-09-16 15:13:15","85.63648","8.475489","99.82953","0.02114181","0.026523486","7.1960664","-42.19737","173.46942","1.1839359","22.181288","741.0672","4.0951962","3.0885375","0","76","988.00885","24.949821","41.2685508386748","-74.0876024365167",""
"2025-09-16 15:13:17","85.63687","8.475011","99.824","0.021541694","0.026396662","7.196289","-42.210037","173.45288","1.1863247","22.181347","741.0674","4.0950527","3.0884373","0","76","988.00903","24.949965","41.26854919246196","-74.08760081560966",""
"2025-09-16 15:13:19","85.63726","8.474533","99.81846","0.021941576","0.026269836","7.1965117","-42.222706","173.43634","1.1887134","22.181404","741.0675","4.094909","3.0883374","0","76","988.0093","24.95011","41.268546405586825","-74.08759863777632",""
"2025-09-16 15:13:21","85.63557","8.479507","99.86721","0.011806605","0.031005003","7.164749","-40.415344","175.1729","1.1666056","22.175386","741.0546","4.080628","3.0782595","0","76","987.99207","24.95","41.26854518923162","-74.08760123930045",""
"2025-09-16 15:13:23","85.6355","8.479677","99.868744","0.0115342885","0.03112532","7.163606","-40.35028","175.23523","1.1669546","22.175114","741.0542","4.079872","3.0777266","0","76","987.9915","24.95","41.26854591399657","-74.08760165790298",""
"2025-09-16 15:13:25","85.63544","8.479847","99.87028","0.011261971","0.03124564","7.1624627","-40.285217","175.29758","1.1673036","22.174843","741.0538","4.0791163","3.0771935","0","76","987.99097","24.95","41.26854550686494","-74.08760229891247",""
"2025-09-16 15:13:27","85.63537","8.480018","99.87181","0.010989653","0.031365957","7.1613193","-40.220154","175.35991","1.1676525","22.174572","741.05334","4.0783606","3.0766606","0","76","987.9904","24.95","41.2685440679774","-74.087602270766",""
"2025-09-16 15:13:29","85.632996","8.491186","100.00234","0.00823248","0.029733744","7.147856","-39.454433","175.89487","1.1819592","22.17451","741.0597","4.0738783","3.0735087","0","76","987.9989","24.958632","41.26854010101653","-74.08760084353392",""
