Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2025 18:03,20.003904,70.6639,2.2689176,63.918434,7.8834558,91.06637,7.802408,-76.12136,129.76639,3.1189446,0.03254982,15645.83,0.9982304,0.045931537,0.16400507,0.015087959,724.6109,4.1382003,7.372337,134.64502,0,73,966.0689,25.722597,42.10392255,-78.74663199,
9/23/2025 18:03,19.98119,70.76947,2.1295254,63.984425,7.8238606,90.3289,7.7900553,-75.416664,130.35124,3.134564,0.032601096,15629.245,0.99823517,0.046000157,0.10327667,0.014574477,724.6106,4.160393,7.356718,133.5603,0,73,966.06854,25.720768,42.10392255,-78.74663199,
9/23/2025 18:03,19.728222,71.43047,2.5456853,64.2357,6.543475,75.18816,7.636234,-66.67785,139.39511,3.1324873,0.03292132,15568.248,0.9982872,0.04642981,0.07754364,0.018646037,724.6112,4.157474,7.3587723,111.2134,0,73,966.0694,25.70406,42.10392255,-78.74663199,
9/23/2025 18:03,19.708622,71.50155,2.493472,64.27382,6.4683003,74.28535,7.625295,-66.055115,139.98447,3.133394,0.032955807,15558.756,0.99829125,0.046476007,0.05036559,0.01860135,724.6113,4.1587634,7.357865,109.88253,0,73,966.0695,25.70279,42.10392255,-78.74663199,
9/23/2025 18:03,19.689024,71.57262,2.441259,64.31193,6.393126,73.38254,7.6143565,-65.43239,140.57382,3.134301,0.032990295,15549.264,0.99829537,0.046522204,0.023187546,0.018556662,724.61145,4.160053,7.3569574,108.55166,0,73,966.0697,25.701517,42.10392255,-78.74663199,
9/23/2025 18:03,19.669424,71.64369,2.3890457,64.350044,6.3179517,72.47972,7.6034184,-64.809654,141.16316,3.1352077,0.03302478,15539.771,0.9982994,0.0465684,0,0.018511975,724.6116,4.161342,7.35605,107.22079,0,73,966.0698,25.700245,42.10392255,-78.74663199,
9/23/2025 18:03,19.526274,71.97284,2.0769439,64.447784,5.330212,60.988266,7.47822,-57.723038,148.05705,3.1246955,0.03318397,15516.463,0.99832827,0.04678235,0.02825974,0.01354423,724.61145,4.1463733,7.366585,90.23878,0,73,966.0697,25.665962,42.10392255,-78.74663199,
9/23/2025 18:03,19.515879,71.99888,2.0690985,64.45696,5.2676973,60.256214,7.470361,-57.277576,148.49785,3.1245236,0.033196572,15514.244,0.9983304,0.04679927,0.028224599,0.013401357,724.61145,4.146128,7.3667574,89.1575,0,73,966.0697,25.664257,42.10392255,-78.74663199,
9/23/2025 18:03,19.505482,72.02491,2.061253,64.46613,5.205182,59.524162,7.462502,-56.83212,148.93864,3.1243515,0.033209175,15512.026,0.9983325,0.046816193,0.028189458,0.013258486,724.61145,4.145883,7.36693,88.076225,0,73,966.0697,25.66255,42.10392255,-78.74663199,
9/23/2025 18:03,19.495087,72.05095,2.0534077,64.47531,5.1426673,58.79211,7.4546432,-56.38666,149.37944,3.1241794,0.033221778,15509.808,0.99833465,0.046833117,0.028154317,0.013115615,724.61145,4.1456375,7.3671026,86.99495,0,73,966.0697,25.660845,42.10392255,-78.74663199,
